human_input	human_symbol	human_gene_id	input_match	zebrafish_symbol	zebrafish_gene_id	relationship	n_zebrafish_orthologs	status
CACNA1S	CACNA1S	779	official_symbol				0	no_zebrafish_ortholog
FOXL2	FOXL2	668	official_symbol	foxl2a	692279	Ortholog	1	mapped
MYH15	MYH15	22989	official_symbol				0	no_zebrafish_ortholog
MYOM1	MYOM1	8736	official_symbol	myom1b	100144770	Ortholog	1	mapped
PITX2	PITX2	5308	official_symbol	pitx2	30164	Ortholog	1	mapped
CD81	CD81	975	official_symbol	cd81a	58031	Ortholog	1	mapped
CD9	CD9	928	official_symbol				0	no_zebrafish_ortholog
MYMK	MYMK	389827	official_symbol	mymk	415178	Ortholog	1	mapped
MYMX	MYMX	101929726	official_symbol				0	no_zebrafish_ortholog
PTGFRN	PTGFRN	5738	official_symbol				0	no_zebrafish_ortholog
BCL9	BCL9	607	official_symbol	bcl9	449616	Ortholog	1	mapped
KLF5	KLF5	688	official_symbol				0	no_zebrafish_ortholog
MYOD1	MYOD1	4654	official_symbol	myod1	30513	Ortholog	1	mapped
TMEM182	TMEM182	130827	official_symbol	tmem182a	503742	Ortholog	1	mapped
AKIRIN1	AKIRIN1	79647	official_symbol	akirin1	406432	Ortholog	1	mapped
EPHB1	EPHB1	2047	official_symbol				0	no_zebrafish_ortholog
MSTN	MSTN	2660	official_symbol	mstnb	798441	Ortholog	1	mapped
MYOCD	MYOCD	93649	official_symbol	myocd	100331725	Ortholog	1	mapped
S100B	S100B	6285	official_symbol	s100b	436825	Ortholog	1	mapped
SIRT2	SIRT2	22933	official_symbol	sirt2	322309	Ortholog	1	mapped
SIX4	SIX4	51804	official_symbol				0	no_zebrafish_ortholog
DAG1	DAG1	1605	official_symbol	dag1	286829	Ortholog	1	mapped
LAMA1	LAMA1	284217	official_symbol	lama1	569971	Ortholog	1	mapped
LAMB1	LAMB1	3912	official_symbol				0	no_zebrafish_ortholog
LAMC1	LAMC1	3915	official_symbol	lamc1	286832	Ortholog	1	mapped
LARGE1	LARGE1	9215	official_symbol	large1	446213	Ortholog	1	mapped
LRP4	LRP4	4038	official_symbol	lrp4	110351181	Ortholog	1	mapped
MESD	MESD	23184	official_symbol	mesd	791222	Ortholog	1	mapped
BMAL1	BMAL1	406	official_symbol				0	no_zebrafish_ortholog
CYP26B1	CYP26B1	56603	official_symbol	cyp26b1	324188	Ortholog	1	mapped
GPC1	GPC1	2817	official_symbol				0	no_zebrafish_ortholog
KAT8	KAT8	84148	official_symbol	kat8	100003790	Ortholog	1	mapped
MCUB	MCUB	55013	official_symbol				0	no_zebrafish_ortholog
MEF2C	MEF2C	4208	official_symbol	mef2cb	798771	Ortholog	1	mapped
MIR1-1	MIR1-1	406904	official_symbol				0	no_zebrafish_ortholog
RBM24	RBM24	221662	official_symbol	rbm24a	405801	Ortholog	1	mapped
TBX1	TBX1	6899	official_symbol	tbx1	368206	Ortholog	1	mapped
ACTN3	ACTN3	89	official_symbol				0	no_zebrafish_ortholog
BCL2	BCL2	596	official_symbol	bcl2b	100007048	Ortholog	1	mapped
LMOD3	LMOD3	56203	official_symbol	lmod3	100149390	Ortholog	1	mapped
MYF5	MYF5	4617	official_symbol	myf5	58097	Ortholog	1	mapped
MYF6	MYF6	4618	official_symbol	myf6	404208	Ortholog	1	mapped
MYOG	MYOG	4656	official_symbol	myog	30200	Ortholog	1	mapped
SHOX2	SHOX2	6474	official_symbol	shox2	394171	Ortholog	1	mapped
DLL1	DLL1	28514	official_symbol				0	no_zebrafish_ortholog
IGF2	IGF2	3481	official_symbol	igf2b	324215	Ortholog	1	mapped
MTM1	MTM1	4534	official_symbol				0	no_zebrafish_ortholog
NACA	NACA	4666	official_symbol	naca	195823	Ortholog	1	mapped
CAPN3	CAPN3	825	official_symbol	capn3a	447832	Ortholog	1	mapped
HOPX	HOPX	84525	official_symbol	hopx	386589	Ortholog	1	mapped
PPARD	PPARD	5467	official_symbol	ppardb	30754	Ortholog	1	mapped
SOX15	SOX15	6665	official_symbol				0	no_zebrafish_ortholog
CRKL	CRKL	1399	official_symbol	crkl	556443	Ortholog	1	mapped
FZD9	FZD9	8326	official_symbol	fzd9b	58023	Ortholog	1	mapped
ATP2A2	ATP2A2	488	official_symbol				0	no_zebrafish_ortholog
CAMK2B	CAMK2B	816	official_symbol				0	no_zebrafish_ortholog
CAMK2G	CAMK2G	818	official_symbol	camk2g2	793359	Ortholog	1	mapped
GTF2IRD1	GTF2IRD1	9569	official_symbol	gtf2ird1	81597	Ortholog	1	mapped
IGFBP5	IGFBP5	3488	official_symbol	igfbp5b	403039	Ortholog	1	mapped
MIR208B	MIR208B	100126336	official_symbol				0	no_zebrafish_ortholog
MIR499A	MIR499A	574501	official_symbol				0	no_zebrafish_ortholog
MYH7	MYH7	4625	official_symbol				0	no_zebrafish_ortholog
PPP3CA	PPP3CA	5530	official_symbol	ppp3ca	794574	Ortholog	1	mapped
TNNC1	TNNC1	7134	official_symbol				0	no_zebrafish_ortholog
TNNI1	TNNI1	7135	official_symbol				0	no_zebrafish_ortholog
TNNT1	TNNT1	7138	official_symbol	tnnt1	558627	Ortholog	1	mapped
DDX17	DDX17	10521	official_symbol				0	no_zebrafish_ortholog
DDX5	DDX5	1655	official_symbol	ddx5	322206	Ortholog	1	mapped
KLHL41	KLHL41	10324	official_symbol				0	no_zebrafish_ortholog
NLN	NLN	57486	official_symbol				0	no_zebrafish_ortholog
NR1D2	NR1D2	9975	official_symbol	nr1d2b	30271	Ortholog	1	mapped
SIX1	SIX1	6495	official_symbol				0	no_zebrafish_ortholog
UQCC2	UQCC2	84300	official_symbol	uqcc2	393731	Ortholog	1	mapped
ANGPT1	ANGPT1	284	official_symbol				0	no_zebrafish_ortholog
CFLAR	CFLAR	8837	official_symbol				0	no_zebrafish_ortholog
FGF2	FGF2	2247	official_symbol	fgf2	404231	Ortholog	1	mapped
JAK2	JAK2	3717	official_symbol				0	no_zebrafish_ortholog
PAXBP1	PAXBP1	94104	official_symbol	paxbp1	563266	Ortholog	1	mapped
SELENON	SELENON	57190	official_symbol	selenon	352914	Ortholog	1	mapped
SHH	SHH	6469	official_symbol	shha	30269	Ortholog	1	mapped
SIX5	SIX5	147912	official_symbol				0	no_zebrafish_ortholog
STAT3	STAT3	6774	official_symbol	stat3	30767	Ortholog	1	mapped
ADGRD1	ADGRD1	283383	official_symbol	adgrd1	791731	Ortholog	1	mapped
ATP2A1	ATP2A1	487	official_symbol	atp2a1	260440	Ortholog	1	mapped
C12orf57	C12orf57	113246	official_symbol	grcc10	323559	Ortholog	1	mapped
CASQ1	CASQ1	844	official_symbol				0	no_zebrafish_ortholog
CAV3	CAV3	859	official_symbol	cav3	449679	Ortholog	1	mapped
DMD	DMD	1756	official_symbol	dmd	83773	Ortholog	1	mapped
DMPK	DMPK	1760	official_symbol	dmpk	101886625	Ortholog	1	mapped
FKBP1A	FKBP1A	2280	official_symbol				0	no_zebrafish_ortholog
GNAS	GNAS	2778	official_symbol	gnas	557353	Ortholog	1	mapped
GSTM2	GSTM2	2946	official_symbol				0	no_zebrafish_ortholog
GSTO1	GSTO1	9446	official_symbol	gsto1	436894	Ortholog	1	mapped
KBTBD13	KBTBD13	390594	official_symbol	kbtbd13a	797244	Ortholog	1	mapped
KCNJ2	KCNJ2	3759	official_symbol				0	no_zebrafish_ortholog
